Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
74,37,20.3,28.5,0.572,-2.613,-1.538,-1.169,-0.581,-0.081,-0.439,-0.917
74,38,19,29.1,0.286,-2.56,-1.564,-1.225,-0.6,-0.091,-0.453,-1.36195
74,39,24.5,31,0.572,-3.086,-1.825,-1.385,-0.73,-0.228,-0.586,-1.25
74,40,18.2,23.6,0.572,-2.052,-1.275,-0.992,-0.461,0.039,-0.316,-0.72
74,41,19.4,25,0.572,-2.208,-1.335,-1.022,-0.5,0,-0.354,-0.735
74,42,17.7,22.6,0.572,-2.097,-1.265,-0.974,-0.439,0.061,-0.293,-0.67
74,43,15.1,19.9,0.572,-1.795,-1.13,-0.893,-0.363,0.137,-0.222,-0.557
74,44,13.6,19.3,0.229,-1.677,-1.041,-0.825,-0.419,0.186,-0.229,-0.525
74,45,14.6,21.5,0.225,-1.756,-1.112,-0.888,-0.421,0.126,-0.256,-0.596
74,46,17.3,26.3,0.196,-2.155,-1.304,-1.011,-0.547,0.015,-0.384,-0.733
74,47,15,24.8,0,-1.859,-1.136,-0.888,-0.527,0.101,-0.338,-0.721
74,48,14.4,23.4,0,-1.669,-0.997,-0.766,-0.48,0.153,-0.296,-0.633
74,49,13.6,26.7,0,-1.703,-1.03,-0.799,-0.475,0.152,-0.288,-0.607
74,50,11.6,19.9,0,-1.501,-0.927,-0.731,-0.423,0.205,-0.221,-0.471
74,51,9.3,14.7,0,-1.378,-0.886,-0.715,-0.351,0.281,-0.144,-0.305
74,52,11.4,21.1,0,-1.461,-0.911,-0.723,-0.4,0.233,-0.209,-0.485
74,53,8.3,16,0,-1.046,-0.755,-0.645,-0.304,0.331,-0.111,-0.334
74,54,6.6,10.8,0,-0.843,-0.619,-0.537,-0.221,0.422,-0.022,-0.206
74,55,5.4,11.3,0,-0.961,-0.806,-0.748,-0.274,0.161,-0.149,-0.342
74,56,4.6,10.1,0,-0.447,-0.469,-0.485,-0.261,0.49,0.012,-0.147
74,57,5,9.2,0,-0.519,-0.464,-0.446,-0.156,0.494,0.017,-0.169
74,58,3.5,7.6,0,-0.441,-0.359,-0.329,-0.09,0.631,0.094,-0.06
74,59,11,18.4,0,-1.325,-0.889,-0.736,-0.394,0.24,-0.198,-0.449
74,60,9.3,16.2,0,-1.064,-0.739,-0.627,-0.297,0.311,-0.121,-0.38
74,61,8.1,13.4,0,-1.137,-0.811,-0.694,-0.302,0.331,-0.094,-0.288
74,62,8.9,13.9,0,-1.228,-0.874,-0.745,-0.325,0.31,-0.092,-0.27
74,63,12.1,19,0,-1.579,-0.979,-0.778,-0.428,0.201,-0.23,-0.486
74,64,10.2,17,0,-1.266,-0.83,-0.681,-0.367,0.269,-0.159,-0.388
74,65,6.4,12.3,0,-1.33,-0.917,-0.775,-0.398,0.235,-0.214,-0.225
74,66,7.9,13.1,0,-1.199,-0.783,-0.642,-0.308,0.324,-0.122,-1.36195
74,67,13.7,22.7,0,-1.564,-0.947,-0.74,-0.416,0.215,-0.228,-0.526
74,68,6.8,11.6,0,-0.816,-0.605,-0.529,-0.215,0.435,-0.036,-0.225
74,69,7.4,14.9,0,-1.285,-0.889,-0.742,-0.358,0.305,-0.201,-0.401
74,70,5.1,13.4,0,-0.483,-0.407,-0.397,-0.2,0.495,0.02,-0.17
74,71,9.1,17.4,0,-0.835,-0.657,-0.605,-0.332,0.306,-0.141,-0.383
74,72,6.8,13.2,0,-1.026,-0.716,-0.615,-0.285,0.357,-0.1,-0.297
74,73,2.7,6.5,0,-0.066,-0.162,-0.208,-0.039,0.914,0.182,0.024
74,74,1.1,3.3,0,0.334,0.069,-0.047,0.034,1.098,0.268,0.124
74,75,3.7,8.6,0,-0.306,-0.281,-0.287,-0.104,0.698,0.1,-0.041
74,76,1.9,5.4,0,0.134,-0.048,-0.143,-0.001,0.902,0.228,0.088
74,77,6.1,11.5,0,-0.565,-0.482,-0.462,-0.202,0.458,-0.015,-0.197
74,78,4,8.8,0,-0.282,-0.31,-0.337,-0.118,0.548,0.067,-0.09
74,79,3.2,8.2,0,-0.238,-0.262,-0.287,-0.077,0.63,0.134,-0.005
74,80,4.8,10,0,-0.464,-0.392,-0.378,-0.151,0.497,0.053,-0.114
74,81,6.7,13.9,0,-0.798,-0.562,-0.488,-0.238,0.42,-0.031,-0.224
74,82,11.8,18.3,0,-1.472,-0.885,-0.688,-0.404,0.226,-0.215,-1.36195
74,83,13.8,20.4,0,-1.725,-1.044,-0.814,-0.475,0.154,-0.286,-0.563
74,84,10.1,15.6,0,-1.124,-0.724,-0.591,-0.333,0.305,-0.108,-0.326
74,85,7.1,11.5,0,-0.746,-0.57,-0.519,-0.218,0.419,-0.03,-0.231
74,86,10.3,15.9,0,-2.174,-1.426,-1.107,-0.75,0.212,-0.367,-0.487
74,87,11.4,17.4,0,-1.447,-0.911,-0.729,-0.401,0.233,-0.223,-0.459
74,88,9.4,13.9,0,-1.152,-0.74,-0.602,-0.31,0.326,-0.115,-0.313
74,89,9,13.7,0,-1.125,-0.72,-0.586,-0.297,0.336,-0.107,-0.325
74,90,7.6,11.6,0,-0.917,-0.593,-0.488,-0.238,0.396,-0.05,-0.237
74,91,10.2,17.3,0,-1.364,-0.947,-0.803,-0.389,0.244,-0.203,-0.479
74,92,8.6,13.4,0,-1.114,-0.748,-0.626,-0.286,0.354,-0.098,-0.326
74,93,7.5,11.4,0,-0.953,-0.645,-0.546,-0.237,0.4,-0.053,-0.245
74,94,7.4,11.6,0,-1.201,-0.82,-0.681,-0.295,0.34,-0.134,-0.334
74,95,8.3,13.2,0,-0.755,-0.624,-0.583,-0.263,0.371,-0.073,-0.281
74,96,8.8,13.6,0,-1.21,-0.882,-0.753,-0.361,0.27,-0.192,-0.391
74,97,10.9,17.7,0,-1.379,-1.01,-0.873,-0.467,0.173,-0.282,-0.672
74,98,8.7,13.3,0,-0.886,-0.681,-0.609,-0.27,0.366,-0.089,-0.294
74,99,11.5,16.4,0,-1.315,-0.88,-0.731,-0.366,0.267,-0.18,-0.411
74,100,10.2,14.7,0,-1.174,-0.808,-0.682,-0.32,0.315,-0.133,-0.357
74,101,11.8,18.1,0,-1.427,-0.97,-0.811,-0.402,0.238,-0.215,-0.489
74,102,14.4,23,0,-1.798,-1.201,-0.993,-0.51,0.117,-0.328,-1.36195
